label,text-cat,length-cat,containsMention-cat,isWeekend-cat
0,"@switchfoot http://twitpic.com/2y1zl - awww that's a bummer.  you shoulda got david carr of third day to do it. ;d",115,1,0
0,"is upset that he can't update his facebook by texting it... and might cry as a result  school today also. blah!",111,0,0
0,"@kenichan i dived many times for the ball. managed to save 50%  the rest go out of bounds",89,1,0
0,"my whole body feels itchy and like its on fire ",47,0,0
0,"@nationwideclass no it's not behaving at all. i'm mad. why am i here? because i can't see you all over there. ",111,1,0
0,"@kwesidei not the whole crew ",29,1,0
0,"need a hug ",11,0,0
0,"@loltrish hey  long time no see! yes.. rains a bit only a bit  lol  i'm fine thanks  how's you ?",99,1,0
0,"@tatiana_k nope they didn't have it ",36,1,0
0,"@twittera que me muera ? ",25,1,0
0,"spring break in plain city... it's snowing ",43,0,0
0,"i just re-pierced my ears ",26,0,0
0,"@caregiving i couldn't bear to watch it.  and i thought the ua loss was embarrassing . . . . .",94,1,0
0,"@octolinz16 it it counts idk why i did either. you never talk to me anymore ",77,1,0
0,"@smarrison i would've been the first but i didn't have a gun.    not really though zac snyder's just a doucheclown.",117,1,0
0,"@iamjazzyfizzle i wish i got to watch it with you!! i miss you and @iamlilnicki  how was the premiere?!",103,1,0
0,"hollis' death scene will hurt me severely to watch on film  wry is directors cut not out now?",93,0,0
0,"about to file taxes ",20,0,0
0,"@lettya ahh ive always wanted to see rent  love the soundtrack!!",64,1,0
0,"@fakerpattypattz oh dear. were you drinking out of the forgotten table drinks? ",79,1,0
0,"@alydesigns i was out most of the day so didn't get much done ",62,1,0
0,"one of my friend called me and asked to meet with her at mid valley today...but i've no time *sigh* ",101,0,0
0,"@angry_barista i baked you a cake but i ated it ",48,1,0
0,"this week is not going as i had hoped ",38,0,0
0,"blagh class at 8 tomorrow ",26,0,0
0,"i hate when i have to call and wake people up ",46,0,0
0,"just going to cry myself to sleep after watching marley and me.  ",65,0,0
0,"im sad now  miss.lilly",22,0,0
0,"ooooh.... lol  that leslie.... and ok i won't do it again so leslie won't  get mad again ",89,0,0
0,"meh... almost lover is the exception... this track gets me depressed every time. ",81,0,0
0,"some1 hacked my account on aim  now i have to make a new one",60,0,0
0,"@alielayus i want to go to promote gear and groove but unfornately no ride there  i may b going to the one in anaheim in may though",131,1,0
0,"thought sleeping in was an option tomorrow but realizing that it now is not. evaluations in the morning and work in the afternoon! ",131,0,0
0,"@julieebaby awe i love you too!!!! 1 am here  i miss you",56,1,0
0,"@humpninja i cry my asian eyes to sleep at night ",49,1,0
0,"ok i'm sick and spent an hour sitting in the shower cause i was too sick to stand and held back the puke like a champ. bed now ",127,0,0
0,"@cocomix04 ill tell ya the story later  not a good day and ill be workin for like three more hours...",101,1,0
0,"@missxu sorry! bed time came here (gmt+1)   http://is.gd/fnge",61,1,0
0,"@fleurylis i don't either. its depressing. i don't think i even want to know about the kids in suitcases. ",106,1,0
0,"bed. class 8-12. work 12-3. gym 3-5 or 6. then class 6-10. another day that's gonna fly by. i miss my girlfriend ",113,0,0
0,"really don't feel like getting up today... but got to study to for tomorrows practical exam... ",95,0,0
0,"he's the reason for the teardrops on my guitar the only one who has enough of me to break my heart ",99,0,0
0,"sad sad sad. i don't know why but i hate this feeling  i wanna sleep and i still can't!",89,0,0
0,"@jonathanrknight awww i soo wish i was there to see you finally comfortable! im sad that i missed it ",101,1,0
0,"falling asleep. just heard about that tracy girl's body being found. how sad  my heart breaks for that family.",110,0,0
0,"@viennah yay! i'm happy for you with your job! but that also means less time for me and you... ",95,1,0
0,"just checked my user timeline on my blackberry it looks like the twanking is still happening  are ppl still having probs w/ bgs and uids?",138,0,0
0,"oh man...was ironing @jeancjumbe's fave top to wear to a meeting. burnt it ",75,1,0
0,"is strangely sad about lilo and samro breaking up. ",51,0,0
0,"@tea oh! i'm so sorry  i didn't think about that before retweeting.",67,1,0
0,"broadband plan 'a massive broken promise' http://tinyurl.com/dcuc33 via www.diigo.com/~tautao still waiting for broadband we are ",129,0,0
