text_object,containsMention_category,weekday_category
"rt weezy f baby and the f is for fiscal conservativsm",1,4
"i hate twitter i get love on this hoe ass app",0,4
"rt mcsally smears her opponent for caring about gun control after his wife was shot | by emily singer",1,4
"rt just had a great meeting with besides what he’s done so far with criminal reform the platinum plan…",1,4
"rt i can start publishing this latest wave of patreon comms reasons i couldnt wait lmao s skela is a very cute…",1,4
"report this tweet for voter suppression <u+f>",0,4
"congrats<u+f><u+fa>",1,4
"rt simply html how to visual guide book and ebook available for free kindleunlimited at amazon",1,4
"midzys <u+><u+fef><u+><u+fef><u+><u+fef> the voting for mama is now open itzy is nominated for song of the year w wannabe worldwide…",0,4
"whenever someone remembers my birthday",0,4
"rt this is the plot of killing eve",1,4
"you don’t want to be toxic w me that’s all ima say <u+f><u+f>",0,4
"god got me up today not my alarm stay blessed<u+ff><u+ffd>",0,4
" pm °f humidity percent barometer in low °f at am high °f at pm rain…",0,4
"rt if trump gets re elected he needs to shut all these media frauds out of the white house press room they are democratic…",1,4
"someone is gonna be a puan today yeay <u+f>",0,4
"tiger magnus if you hear snoring from his mic its me d",1,4
"rt little reminder to always keep your house bedroom clean in case harry styles car breaks down and he has to come in for…",1,4
"so true",0,4
"rt don’t try to sell chopping people’s heads off in a place of worship as being indicative of a “clash of cultures” you cowardly…",1,4
"flipthesenateblue votethemallout votebluedownballot votebidenharris allfederalandstategopmustgo…",0,4
"i’m voting for nobody but you for favorite song country at the amas",0,4
"uh this isnt the whole video which i recommend",1,4
"drove through my neighbourhood yesterday and there was an old guy in a golf cart with two big ass trump…",1,4
"rt male led start ups what do you think?",1,4
"rt this election has made me realized that i shouldn’t be friends with a lot of y’all",1,4
"jeremy corbyn is a good man a humanitarian whos been sla…",1,4
"nepotism works wonders you guys",0,4
"ki stab him",1,4
"i’ll continue to let you cappin ass mfs cap in peace lol",0,4
"i’m deeply hurt",0,4
"rt my administration has suspended the entry of refugees from terror compromised nations such as syria somalia and yemen…",1,4
"i’m not overreacting y’all just want to have fun",1,4
"if you tell me this aint yujin youre blind",0,4
"insider trader kelly loeffler lied again today here’s the video she claims she ne…",1,4
"tag urself im breakdancing",0,4
"rt smoke one",1,4
"check if u in doubt <u+f>",1,4
"rt and y’all think my good sis endorsing for that orange man?",1,4
