text_object,containsMention_category,weekday_category
"i’m developing an app that tell anorexic people what they want to hear",0,2
"rt it’s tuesday zelle her $",1,2
"yeah i mean the only prediction i’d make would be the same i’ve said for this whole stupid year t…",1,2
"tay gotchaaaaa <u+f>",1,2
"i gave in and ordered dr squatch soap lol",0,2
"lightning bugs don’t forget to wear your s attire tomorrow to celebrate the th day of school…",0,2
"rt black lives matter no president should be afraid to say it",1,2
"i’m fucking well happy love myself so much so many huge plans and it’s gonna be unreal",0,2
"the human spinal column is s shaped and is made up of many vertebrae that can be divided into multiple groups the…",0,2
"rt dr anthony fauci lays out three ways future scientific communicators can build trust always go by the data admit when…",1,2
"date= dick at the end",0,2
"tears",1,2
"chavs",0,2
"most people are cowards",1,2
"rt trust me i tried my best",1,2
"what you finna do with that <u+f>",0,2
"rt classy or ratchet this weekend",1,2
"you think so??? i thought everyone knew she was british <u+fd>",1,2
"rt minorunawayd no hashflag no countdown posters no sampler<u+fc> for a full album with self produced and composed songs…",1,2
"funny yo",1,2
"rt @ekbharatiya …",1,2
"its true",1,2
"my gf is short <u+f>",0,2
"the guy who played the dad used to love near me he was forever sitting in the corner of a cafe ro…",1,2
"king ",0,2
"it cant be repeated enough that he has so much contempt for his own voters",1,2
"rt y’all gotta learn to mind y’all own business",1,2
"u bold af b belittling black people thts fed up with electoral politics",0,2
"rt and they call us nazis",1,2
"rt wow big win in virginia where a judge finds their confederate statue was “raised against a backdrop of white supremacy…",1,2
" risky <u+f> risky <u+f> wiggy <u+f><u+ffb> wigi <u+fa> this <u+f> is<u+> an <u+fe> emergency <u+f> help <u+c><u+fef>me <u+f><u+ffb> help <u+fa> me <u+f><u+ffb><u+d><u+><u+fef> someone <u+f> s…",1,2
"i’m ready",1,2
"rt cchs congrats ladies",1,2
"why do you have a record of trying to kill americans healthcare? protectourcare…",1,2
"bay area artists for housingjustice? sign me up",0,2
"rt this that cuddle up and binge watch harry potter typa weather <u+f>",1,2
"thank you god",1,2
"rt highness ‘disappointed but not surprised’ has been my biggest mood this year",1,2
"devices samsung galaxy s plus mobile tablet hd wallpaper devices samsung galaxy plus mobile tablet…",0,2
"rt me telling my friends how i deal mental health is with my own important and they mental health should take c…",1,2
