"","text","created"
"1","RT @AsteadWesley: weezy f baby and the f is for fiscal conservativsm","THU"
"2","I hate Twitter I get 0 love on this hoe ass app","THU"
"3","RT @SafetyPinDaily: McSally smears her opponent for caring about gun control after his wife was shot | By Emily Singer https://t.co/o2UOE6Y…","THU"
"4","RT @LilTunechi: Just had a great meeting with @realdonaldtrump @potus besides what he’s done so far with criminal reform, the platinum plan…","THU"
"5","RT @vanduooo: i can start publishing this latest wave of patreon comms! reasons: i couldnt wait lmao

@Skullmaster31's Skela is a very cute…","THU"
"6","Report this tweet for voter suppression <U+0001F447> https://t.co/CZqMrIcAf9","THU"
"7","@lhjjhsmyg Congrats<U+0001F389><U+0001F38A>","THU"
"8","RT @ebooklingo: Simply HTML5: How To Visual Guide

Book and eBook available for #FREE #KindleUnlimited at amazon: https://t.co/yHEGSOJ3Re…","THU"
"9","MIDZYs <U+2757><U+FE0F><U+2757><U+FE0F><U+2757><U+FE0F>

The voting for MAMA 2020 is now open! 

ITZY is nominated for:
Song of the Year w/ Wannabe
Worldwide… https://t.co/bu8kSeMdKb","THU"
"10","whenever someone remembers my birthday https://t.co/PEjwR4eoTX","THU"
"11","RT @exilevillanelle: this is the plot of killing eve https://t.co/Il7tqiyyR1","THU"
"12","You don’t want to be toxic w/ me that’s all ima say <U+0001F605><U+0001F643>","THU"
"13","God got me up today, not my alarm. Stay blessed<U+0001F64F><U+0001F3FD>","THU"
"14","5:00 PM: 56.7°F, Humidity: 81 percent, Barometer: 30.063 in., Low: 51.1°F at 6:52 AM, High: 57.1°F at 4:31 PM, Rain… https://t.co/bvjaxNip3E","THU"
"15","RT @DineshDSouza: If Trump gets re-elected, he needs to shut all these media frauds out of the White House press room. They are Democratic…","THU"
"16","someone is gonna be a Puan today. Yeay <U+0001F606>","THU"
"17","@October_Tiger @Ursus__Magnus @bipolarbear77 @BurrblesBear @RioArtWorks if you hear snoring from his mic its me :D","THU"
"18","RT @annamichael1313: Little reminder to always keep your house/bedroom clean in case harry styles car breaks down and he has to come in for…","THU"
"19","So true! https://t.co/vZhAwySciF","THU"
"20","RT @LozzaFox: Don’t try to sell chopping people’s heads off in a place of worship as being indicative of a “clash of cultures” you cowardly…","THU"
"21","#FlipTheSenateBlue 
#VoteThemAllOut
#VoteBlueDownBallot
#VoteBidenHarris

#AllFederalAndStateGOPmustGO… https://t.co/xsfrMcH6J0","THU"
"22","I’m voting for Nobody but You for Favorite Song - Country at the #AMAs https://t.co/n785L4wVLp","THU"
"23","@Spardocus uh this isnt the whole video, which i recommend.","THU"
"24","@gollybass Drove through my neighbourhood yesterday and there was an old guy in a golf cart with two big-ass Trump… https://t.co/zrDhwtxl46","THU"
"25","RT @manwhohasitall: Male-led start ups. What do you think?","THU"
"26","RT @paqjonathan: This election has made me realized that I shouldn’t be friends with a lot of y’all.","THU"
"27","@YESthatcherDead @UKLabour @scottishlabour @jeremycorbyn Jeremy Corbyn is a good man, a humanitarian who's been sla… https://t.co/PBEezsXEso","THU"
"28","Nepotism works wonders you guys","THU"
"29","@Sailor_ki Stab him!","THU"
"30","i’ll continue to let you cappin ass mfs cap in peace lol","THU"
"31","I’m deeply hurt","THU"
"32","RT @realDonaldTrump: My Administration has suspended the entry of refugees from terror-compromised nations such as Syria, Somalia and Yemen…","THU"
"33","@ggiekkyu @parkjiminiescat I’m not overreacting, y’all just want to have fun","THU"
"34","if you tell me this aint yujin youre blind https://t.co/XIo3GkdMnX","THU"
"35","@SenatorLoeffler @SenatorRounds Insider trader Kelly Loeffler LIED again today.  Here’s the video she claims she ne… https://t.co/psrsnA5vpV","THU"
"36","tag urself, im breakdancing  https://t.co/wArpPMeCRj","THU"
"37","RT @TaylorGang: smoke one","THU"
"38","@Beesberry Check if u in doubt <U+0001F601>","THU"
"39","RT @sleezysthugga: And y’all think my good sis endorsing for that orange man? https://t.co/0tAHfhoD9k","THU"
"40","RT @realStanVG: Trump and the Republicans are working very hard seemingly to make sure no one votes for Hillary Clinton or Hunter Biden in…","THU"
"41","@KingDivock3 Ye man","THU"
"42","@JohnHMcWhorter @conor64 Looking forward to checking it out and I am sure it is good work as ever. I enjoy the chats with you and Mr. Loury.","THU"
"43","@slightfatigue @thepaddyprince Does he have to run them all in one go?","THU"
"44","@lumitydora too late","THU"
"45","RT @itslopezz: Lila and Kell from A Darker Shade of Magic<U+2728> illustration that I did for @illumicrate a while ago! https://t.co/gfBkxr11vY","THU"
"46","RT @_ImOnYaTL: Y’all be screwing over people who have nothing but good intentions and genuine vibes for you .  I don’t get it <U+0001F629>","THU"
"47","RT @jzzzindaeyo: Bobby feat. Aesthetic

#BOBBY #<U+BC14><U+BE44> #<U+30D0><U+30D3> @bobbyranika 
#iKON #<U+C544><U+C774><U+CF58> @YG_IKONIC https://t.co/mqB43FItAn","THU"
"48","RT @StateDept: President @realDonaldTrump: The State of Israel and the Republic of Sudan have agreed to make peace. Full remarks: https://t…","THU"
"49","RT @acapeaday: Broadway Melody of 1940 (1940)
Ann Morriss
Dir.: Norman Taurog
Gowns: Adrian https://t.co/mwkaTJscde","THU"
"50","@KatMakes69 Thanks Kat! <U+0001F49C>","THU"
"51","@lunarwriter75 Oh My GOD","THU"
"52","RT @MainlyEminem: The first rapper to have platinum albums in 4 different decades.

Rap God <U+0001F525> https://t.co/13FzMRVqId","THU"
"53","RT @btsvotingorg: RT to vote BTS (@BTS_twt) for Favorite Social Artist at the 2020 #AMAs. <U+0001F3C6>","THU"
"54","RT @kyecms: All my favourite conversations are always made in the a.m.
@jaylencms","THU"
"55","RT @itskindred: Wondering how cool Watch_Dogs: Legion could have been if the aesthetics of their counterculture wasn’t so dated. There’s so…","THU"
"56","RT @BobbyBigWheel: 2000: This isn't precedent, we just need to override the will of the people once and then Republicans will keep winning…","THU"
"57","RT @burnaboy: IN LOVING MEMORY AND RESPECT<U+0001F64F><U+0001F3FE>  https://t.co/hCNL4KZH4s https://t.co/P4enoTtYVq","THU"
"58","Thanks Mallory for all your hard word and dedication to our program. We appreciate all you did to get us back in th… https://t.co/cI1QNHteXr","THU"
"59","RT @carolecadwalla: I asked the scientist who wrote this for permission to post it. For months, she's tried to offer reasons for hope. Beca…","THU"
"60","RT @ConciousClothin: @tuckwoodstock Please boost as well trans mom can you help please I’ve been asking my own followers with no luck, I’m…","THU"
"61","@DLSpencer10 @SwimmingCanada @CdnPressSports Well covered by @DLSpencer10 alarm bells are sounding &amp; we can’t sleep… https://t.co/imUs5Rmo0a","THU"
"62","RT @dearhkai: ITS SO FRUSTRATING TO SEE THAT WE HAVE A CHANCE AND THE ONLY THING KEEPING US IS OUR YT STREAMS AND PRE VOTING WHICH WE CAN A…","THU"
"63","Stay safe, and keep social distancing! Slow the spread of the Corona Virus. 

#ARCpointLabsofSantaFeSprings #COVID19 https://t.co/YUN1G77BE2","THU"
"64","RT @kimseokjingifs: Dear. ARMY <U+0001F4DD><U+0001F49C>
<U+0001F4BE>: https://t.co/j8MWDzUJPM

#BTS #<U+BC29><U+D0C4><U+C18C><U+B144><U+B2E8> @BTS_twt https://t.co/bIZHeoZzR9","THU"
"65","I don’t know if it’s true in every state but I voted here in Colorado via ballot and took to ballot box. I was able… https://t.co/oyg3xkEdNS","THU"
"66","............. not surprised","THU"
"67","RT @schwartzbCNBC: Spoke to someone familiar with the Trump camps polling. With a few days left, these are some of the states they are conf…","THU"
"68","RT @JUNCCYU: MAMA’s Fan Choice Awards 

#MAMAVOTE #treasure 
@treasuremembers","THU"
"69","RT @ShannonFreshour: You doing ok @Jim_Jordan? 

 Now maybe could you try to produce a health care plan?","THU"
"70","Ive  come to the conclusion i just don’t like the bitch  <U+0001F602> and it’s okay  it really is","THU"
"71","What makes a Nigga","THU"
"72","This yellow sprays really nice.  Next is final assembly, then gloss coat, then decals, then flat or gloss coat.  St… https://t.co/CW0VYZWVxP","THU"
"73","RT @IdiaMarisya: long distance relationship is one of the best relationships. It's really sweet to see two patient hearts that are willing…","THU"
"74","@Maristlizard @pontificatormax @a_valc @IesumAd My mum did too, it never bothered me at all and I actually love sha… https://t.co/Nl9vg9wUGX","THU"
"75","@SWEEPSGG @giyowszxc @itsss_me_sssoft still here https://t.co/UBSvkE6I5H","THU"
"76","RT @Berruchan: Another Finished wing it for Coltron20 on FA! https://t.co/KkjH0daGsN","THU"
"77","@KimKardashian This is so manipulative. You shouldn’t be thanking your husband for this.","THU"
"78","RT @foreverdeb_: Ayo has grown and if you have refused to grow with him, that’s on you.","THU"
