"","text","created"
"1","RT @realDonaldTrump: Why isn’t Biden corruption trending number one on Twitter? Biggest world story, and nowhere to be found. There is no”t…","WED"
"2","That’s disgusting their obsession with visuals is fucking gross https://t.co/D6ZgXHLwqS","WED"
"3","Not me doing push-ups every single night because I enjoy the pain","WED"
"4","@iamZatoshi Just woke up. Hope to get some even if im late<U+0001F60A> https://t.co/GvIwFlSzUi","WED"
"5","Weather Conditions From Calabash, NC @ 8:00 PM  71.0°F,  Humidity is 94 pct,  Wind 0.0 mph WNW,  Rain 0.00 in. High… https://t.co/MfFReKYsTU","WED"
"6","RT @boompeakstrash: istg he's aesthetically handsome with this shot <U+0001F97A><U+0001F90E> https://t.co/yUJzE1TQ4J","WED"
"7","you’re an “African-American ****” fellow...don’t you think that the key word is AFRICAN AMERICAN in that title? don… https://t.co/mIq9RCGQrJ","WED"
"8","Looks like they’re finally going to use the abandoned queen street subway tunnels that were built between 1945 and… https://t.co/uWyEWJtlB1","WED"
"9","RT @topaz_kell: Some things are better left awkward.","WED"
"10","RT @benshapiro: Looting Walmart to cure systemic racism. https://t.co/CAV89LeziG","WED"
"11","@vmintyfresh and thats on <U+0001F973> parasocial relationships! <U+0001F973>","WED"
"12","Nice! So now Grafana can manage metrics, trace and log! I think it’s really important all of them are integrated an… https://t.co/KcVrnTf5Lx","WED"
"13","RT @spwm_bih: If missing you is wrong, ion wanna be right...","WED"
"14","RT @_gabbymain: Follow everyone who likes and retweet this to gain more Twítter followers. <U+0001F41E> Follow me first.","WED"
"15","@suncrses that will definitely give anxiety to many ppl since covid is actually happening rn","WED"
"16","RT @lalisarchive: four seasons with lisa https://t.co/IUJbwyca9b","WED"
"17","@positionsagbx OMG I CAN FOLLOW AGAIN","WED"
"18","RT @LoyaltyComp: I’ll send $5 to one person in 15 minutes to whoever retweets, and follows @FendiStage &amp; myself!","WED"
"19","@isamu_x It's ok, you can choose if you want to draw","WED"
"20","havent eaten today, can someone say skinnyyyyyyy???!!!","WED"
"21","RT @hollewdz: She's got him! I wonder, what do you think she'll do next? <U+0001F914><U+0001F633>
https://t.co/e4h1JcAs64
#giantess #sizetwitter #<U+5DE8><U+5927><U+5A18> https://t.c…","WED"
"22","@itsmesam_vera have a great day &lt;3","WED"
"23","RT @sugatradamus: @SooChoiFolder @BTS_twt i would remember bts as the most  beautiful moment in my life as a youth, the seven of them reall…","WED"
"24","@capriaaf @JoeBiden Plenty of results for #TrumpCrimeFamily and #TrumpFamilyCorruption","WED"
"25","RT @corpseaura: how tall are you","WED"
"26","RT @Peppermint247: It's so simple.... https://t.co/ocD63EkFzf","WED"
"27","@RealJamesWoods Who is Harry and who cares","WED"
"28","@Rose23955754 @realDonaldTrump Wipe that giz off your face","WED"
"29","RT @KamalaHarris: I’m looking forward to a future where the people know that—even in crisis—the president has their back.

How about you?","WED"
"30","RT @ignacio_aries: imagine nasa concert ka ng I belong to the zoo tas bigla mong narinig yung lyrics na ""binibilang ang hakbang hanggang wa…","WED"
"31","Epicenter","WED"
"32","@MrP0042 Still alive","WED"
"33","@MonicaLewinsky I’m working on that puzzle right now!","WED"
"34","RT @hidek65: #Inktober2020 #Inktober 
Day29: SHOES https://t.co/MC3kQCBeST","WED"
"35","@ChUullingtu Huh, never heard of them in all of my years but ok... -he looks out towards the city and sighs- I wond… https://t.co/RwapzlWnwB","WED"
"36","RT @scrtbella: do you have a moment? can we? salam maulidur rasul <U+0001F49C> https://t.co/ZzP523It5s","WED"
"37","RT @24duckling: “The privilege that it holds for the election to be a joke to you.” was a deep statement.","WED"
